tweet_id,tweet_text,class_label,predicted_label,confidence,entropy
1167883326872375298,Super important ahead of Hurricane Dorian - shelters all across the eastern US need your help! Please head to your local shelter and share with your friends ὠA,sympathy_and_support,rescue_volunteering_or_donation_effort,0.9,
1168320199407394816,"Bird, Lime, Spin and Jump sent their hurricane preparedness plans to the city by Thursday, which include moving the scooters to secure buildings.",other_relevant_information,caution_and_advice,0.9,
1167676289630769152,No gas at all. No water that we can find. No propane left. No one on the streets and no boats in the marinas. It’s beginning to get real here on the ground in #ThePalmBeaches #Florida #HurricaneDorian ἲAὢCἲA,other_relevant_information,infrastructure_and_utility_damage,0.9,
1168252144119681026,RT @1Womyn4Truth: @55true4u Last hurricane with similar wind speeds as #Dorian was 1935 - 84 years ago. History is repeating itself. http,other_relevant_information,not_humanitarian,0.9,
1167869909352632320,"⭐️EPPERSON LAGOON IS OPEN LABOR DAY WEEKEND! ⭐️ With the latest storm track moving Dorian away from our area we plan to have the Lagoon OPEN today, Sunday and Monday – regular hours, regular use of water, beaches, bars, recreational rentals and amenities. #metrolagoons #epperson",other_relevant_information,not_humanitarian,0.9,
1167526226195410944,RT @PlanoJeff: If Dorian doesn’t completely demolish Mar a Lago then thoughts and prayers” are absolutely useless.,not_humanitarian,sympathy_and_support,0.9,
1168149375735828483,".@WickedBarley Brewing Company giving away #free #water ahead of #HurricaneDorian Call to see if still have any. 4100 Baymeadows Road #Jacksonville, #Florida ☎ 904-379-7077 #DisasterAssistTeam #Dorian #FLwx #HurricanePrep",other_relevant_information,rescue_volunteering_or_donation_effort,0.95,
1168207605065404417,Hurricane Dorian has become the strongest hurricane in modern record to impact the northwest Bahamas! Catastrophic damage is occurring in the Abacos Islands of the Bahamas.,other_relevant_information,infrastructure_and_utility_damage,0.9,
1168180307293437952,"I truly tire of these endless storm scare stories. CAT 5 world ender ! Ive been through a dozen of these and theyre never more than a windy night, mild flooding, and a few broken windows. The hysterics are irresponsible. Dorian will be a TS by the time it sees Jacksonville.",other_relevant_information,caution_and_advice,0.85,
1168244144507981824,Extreme destruction: Video emerges as Category 5 Hurricane Dorian makes landfall in the Bahamas  #News #Weather via @dcexaminer,other_relevant_information,infrastructure_and_utility_damage,0.9,
1168376240052613120,"It looks like a tsunami and EF5 tornado went through at the same time, Jesus",other_relevant_information,not_humanitarian,0.9,
1167505390780600320,There are est 2.9 Million people in FLA who live at or below the poverty level. Highly likely they dont have cash on hand for supplies &amp; some may not have access to a vehicle for evacuation. What are you doing to ensure their safety? #LessonsOfKatrina,displaced_people_and_evacuations,caution_and_advice,0.85,
1167491114749898752,"Consequences of #Dorian, at Cat 3+, slowing down as it plows into Florida, would be awful. * Prolonged destructive winds * Many cycles of storm surge flooding at high tide * Extreme rainfall, 10+, even 20+ While subject to change, the current forecast",infrastructure_and_utility_damage,caution_and_advice,0.9,
1168395249368076288,Who will come to the aid of the Bahamas? Islands are fragile and isolated. Consider all those wealthy folks who enjoy vacations there? Will they help? We will see. Hopefully some will direct some of their $$$$ and talents toward them.,sympathy_and_support,rescue_volunteering_or_donation_effort,0.85,
1168318685301366789,RT @papicolumna: Apparently Dorian basically destroyed the Bahamas and we are still questioning global warming #Dorian2019,not_humanitarian,infrastructure_and_utility_damage,0.85,
1167598906429136896,"Hurricane Dorian hits Mar-a-lago, does $245,000 damage. And Trump will claim $2.6 billion.",not_humanitarian,infrastructure_and_utility_damage,0.9,
1167532405831323648,"For maximum damage to #TRUMPs #Maralago orphan factory, #Dorian should land south of #PalmBeach , between Fort Lauderdale and Boynton Beach (also minimizes damage to others!) #HurricaneDorian #HurricaneDorian2019 #Dorianflorida #ImpeachTrump #cdnpoli #stocks #RussianAsset",infrastructure_and_utility_damage,not_humanitarian,0.9,
1168270850795212800,"LOL! Thinking about Ike in 2008. Online stories of victims told how water began to rise the day before the eye arrived, cutting off escape on Bolivar peninsula, some perished. Even if Dorian depowers &amp; then makes a right turn, that pushed water keeps coming",other_relevant_information,injured_or_dead_people,0.85,
1167860607896309761,RT @HoustonChron: Texas sends emergency task force to Florida in wake of Dorian,caution_and_advice,other_relevant_information,0.9,
